,user_id,join_date,last_payment_date,country,age,gender,device,subscription_type,subscription_price,PPP,relative_PPP_price,population
19,20,2023-05-27,2023-06-22,Italy,41,Male,Tablet,Basic,"8,78","0,65","5,71",58870762
20,21,2023-10-06,2023-06-22,United States,26,Female,Laptop,Premium,"19,99","1,0","19,99",339996563
21,22,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,Basic,"7,85","1,25","9,81",38781291
22,23,2021-05-12,2023-06-27,United Kingdom,49,Female,Smart TV,Standard,"15,08","0,69","10,41",67736802
23,24,2022-03-04,2023-06-26,Australia,31,Male,Tablet,Standard,"12,42","1,44","17,88",26439111
24,25,2023-03-14,2023-06-28,Germany,40,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
25,26,2022-12-01,2023-06-27,France,29,Male,Smartphone,Premium,"19,77","0,73","14,43",64756584
26,27,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,Basic,"4,9","2,53","12,4",216422446
27,28,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
28,29,2022-12-19,2023-06-23,Spain,36,Female,Laptop,Premium,"19,77","0,62","12,26",47519628
29,30,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,Basic,"8,78","0,65","5,71",58870762
30,31,2023-03-02,2023-06-22,United States,28,Female,Smart TV,Premium,"19,99","1,0","19,99",339996563
31,32,2022-07-07,2023-06-28,Canada,37,Male,Tablet,Basic,"7,85","1,25","9,81",38781291
32,33,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,Standard,"15,08","0,69","10,41",67736802
33,34,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,Standard,"12,42","1,44","17,88",26439111
34,35,2023-11-04,2023-06-28,Germany,39,Female,Smart TV,Basic,"8,78","0,74","6,5",83294633
35,36,2022-01-03,2023-06-27,France,35,Male,Tablet,Premium,"19,77","0,73","14,43",64756584
36,37,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,Basic,"4,9","2,53","12,4",216422446
37,38,2021-05-11,2023-06-24,Mexico,32,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
38,39,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,Premium,"19,77","0,62","12,26",47519628
39,40,2023-07-03,2023-06-22,Italy,48,Male,Tablet,Basic,"8,78","0,65","5,71",58870762
40,41,2023-01-20,2023-06-22,United States,31,Female,Laptop,Premium,"19,99","1,0","19,99",339996563
41,42,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,Basic,"7,85","1,25","9,81",38781291
42,43,2022-07-02,2023-06-27,United Kingdom,36,Female,Smart TV,Standard,"15,08","0,69","10,41",67736802
43,44,2022-04-26,2023-06-26,Australia,29,Male,Tablet,Standard,"12,42","1,44","17,88",26439111
44,45,2023-01-28,2023-06-28,Germany,43,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
45,46,2022-02-23,2023-06-27,France,34,Male,Smartphone,Premium,"19,77","0,73","14,43",64756584
46,47,2022-05-10,2023-06-25,Brazil,39,Female,Smart TV,Basic,"4,9","2,53","12,4",216422446
47,48,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
48,49,2022-10-11,2023-06-23,Spain,28,Female,Laptop,Premium,"19,77","0,62","12,26",47519628
49,50,2023-02-06,2023-06-22,Italy,45,Male,Smartphone,Basic,"8,78","0,65","5,71",58870762
50,51,2023-02-27,2023-06-22,United States,30,Female,Smart TV,Premium,"19,99","1,0","19,99",339996563
51,52,2022-08-29,2023-06-28,Canada,37,Male,Tablet,Basic,"7,85","1,25","9,81",38781291
52,53,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,Standard,"15,08","0,69","10,41",67736802
53,54,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,Standard,"12,42","1,44","17,88",26439111
54,55,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,Basic,"8,78","0,74","6,5",83294633
55,56,2022-03-15,2023-06-27,France,36,Male,Tablet,Premium,"19,77","0,73","14,43",64756584
56,57,2022-01-10,2023-06-25,Brazil,46,Female,Laptop,Basic,"4,9","2,53","12,4",216422446
57,58,2021-08-10,2023-06-24,Mexico,34,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
58,59,2022-03-12,2023-06-23,Spain,27,Female,Smart TV,Premium,"19,77","0,62","12,26",47519628
59,60,2023-06-14,2023-06-22,Italy,42,Male,Tablet,Basic,"8,78","0,65","5,71",58870762
60,61,2023-08-02,2023-06-22,United States,28,Female,Laptop,Premium,"19,99","1,0","19,99",339996563
61,62,2022-03-08,2023-06-28,Canada,37,Male,Smartphone,Basic,"7,85","1,25","9,81",38781291
62,63,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,Standard,"15,08","0,69","10,41",67736802
63,64,2022-06-20,2023-06-26,Australia,29,Male,Tablet,Standard,"12,42","1,44","17,88",26439111
64,65,2023-03-29,2023-06-28,Germany,40,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
65,66,2022-01-30,2023-06-27,France,29,Male,Smartphone,Premium,"19,77","0,73","14,43",64756584
66,67,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,Basic,"4,9","2,53","12,4",216422446
67,68,2021-09-11,2023-06-24,Mexico,33,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
68,69,2022-12-23,2023-06-23,Spain,36,Female,Laptop,Premium,"19,77","0,62","12,26",47519628
69,70,2023-08-05,2023-06-22,Italy,41,Male,Smartphone,Basic,"8,78","0,65","5,71",58870762
70,71,2022-01-26,2023-06-20,United States,27,Male,Smartphone,Basic,"9,99","1,0","9,99",339996563
71,72,2022-11-10,2023-06-22,Canada,31,Female,Smartphone,Basic,"7,85","1,25","9,81",38781291
72,73,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,Standard,"15,08","0,69","10,41",67736802
73,74,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,Premium,"16,81","1,44","24,21",26439111
74,75,2022-05-28,2023-06-26,Germany,28,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
75,76,2021-12-29,2023-06-26,France,51,Female,Laptop,Basic,"9,88","0,73","7,21",64756584
76,77,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,Premium,"10,57","2,53","26,74",216422446
77,78,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
78,79,2022-03-12,2023-06-25,Spain,43,Female,Laptop,Standard,"14,28","0,62","8,85",47519628
79,80,2022-08-11,2023-06-22,Italy,43,Male,Tablet,Basic,"8,78","0,65","5,71",58870762
80,81,2023-11-01,2023-06-24,United States,37,Male,Tablet,Premium,"19,99","1,0","19,99",339996563
81,82,2022-07-12,2023-06-28,Canada,35,Male,Laptop,Standard,"12,96","1,25","16,2",38781291
82,83,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,Basic,"9,59","0,69","6,62",67736802
83,84,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,Standard,"12,42","1,44","17,88",26439111
84,85,2023-06-04,2023-06-27,Germany,37,Female,Laptop,Premium,"19,77","0,74","14,63",83294633
85,86,2022-04-03,2023-06-25,France,29,Female,Smartphone,Basic,"9,88","0,73","7,21",64756584
86,87,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,Premium,"10,57","2,53","26,74",216422446
87,88,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
88,89,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,Basic,"8,78","0,62","5,44",47519628
89,90,2023-03-02,2023-06-23,Italy,49,Female,Smartphone,Standard,"14,28","0,65","9,28",58870762
90,91,2022-03-10,2023-06-23,United States,39,Male,Tablet,Premium,"19,99","1,0","19,99",339996563
91,92,2022-05-01,2023-06-28,Canada,39,Male,Smart TV,Basic,"7,85","1,25","9,81",38781291
92,93,2022-05-02,2023-06-26,United Kingdom,35,Male,Smartphone,Standard,"15,08","0,69","10,41",67736802
93,94,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,Premium,"16,81","1,44","24,21",26439111
94,95,2022-02-28,2023-06-25,Germany,34,Male,Laptop,Basic,"8,78","0,74","6,5",83294633
95,96,2022-07-26,2023-06-24,France,32,Male,Laptop,Premium,"19,77","0,73","14,43",64756584
96,97,2022-05-03,2023-06-24,Brazil,29,Female,Tablet,Basic,"4,9","2,53","12,4",216422446
97,98,2022-07-03,2023-06-28,Mexico,31,Female,Tablet,Standard,"10,86","10,04","109,03",128455567
98,99,2023-01-13,2023-06-24,Spain,29,Female,Tablet,Standard,"14,28","0,62","8,85",47519628
99,100,2023-01-22,2023-06-25,Italy,35,Male,Laptop,Basic,"8,78","0,65","5,71",58870762
100,101,2022-10-17,2023-06-24,United States,46,Female,Tablet,Premium,"19,99","1,0","19,99",339996563
101,102,2022-03-29,2023-06-28,Canada,31,Male,Tablet,Basic,"7,85","1,25","9,81",38781291
102,103,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,Standard,"15,08","0,69","10,41",67736802
103,104,2022-08-06,2023-06-25,Australia,38,Male,Laptop,Premium,"16,81","1,44","24,21",26439111
104,105,2022-04-03,2023-06-27,Germany,46,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
105,106,2022-03-18,2023-06-24,France,49,Female,Tablet,Premium,"19,77","0,73","14,43",64756584
106,107,2022-07-03,2023-06-24,Brazil,29,Female,Smart TV,Basic,"4,9","2,53","12,4",216422446
107,108,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,Standard,"10,86","10,04","109,03",128455567
108,109,2023-08-02,2023-06-25,Spain,35,Female,Tablet,Standard,"14,28","0,62","8,85",47519628
109,110,2023-01-26,2023-06-24,Italy,37,Female,Laptop,Basic,"8,78","0,65","5,71",58870762
110,111,2022-07-14,2023-06-27,United States,40,Male,Tablet,Premium,"19,99","1,0","19,99",339996563
111,112,2022-01-06,2023-06-28,Canada,33,Female,Laptop,Basic,"7,85","1,25","9,81",38781291
112,113,2022-07-05,2023-06-26,United Kingdom,37,Male,Tablet,Standard,"15,08","0,69","10,41",67736802
113,114,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,Premium,"16,81","1,44","24,21",26439111
114,115,2022-05-04,2023-06-25,Germany,50,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
115,116,2022-05-19,2023-06-23,France,45,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
116,117,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,Basic,"4,9","2,53","12,4",216422446
117,118,2022-07-08,2023-06-27,Mexico,33,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
118,119,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,Standard,"14,28","0,62","8,85",47519628
119,120,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,Basic,"8,78","0,65","5,71",58870762
120,121,2022-03-10,2023-06-24,United States,27,Male,Smart TV,Premium,"19,99","1,0","19,99",339996563
121,122,2022-03-05,2023-06-28,Canada,51,Male,Smart TV,Basic,"7,85","1,25","9,81",38781291
122,123,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,Standard,"15,08","0,69","10,41",67736802
123,124,2022-05-11,2023-06-25,Australia,43,Male,Laptop,Premium,"16,81","1,44","24,21",26439111
124,125,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,Basic,"8,78","0,74","6,5",83294633
125,126,2022-09-21,2023-06-23,France,45,Male,Laptop,Premium,"19,77","0,73","14,43",64756584
126,127,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,Basic,"4,9","2,53","12,4",216422446
127,128,2022-06-10,2023-06-27,Mexico,48,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
128,129,2022-05-11,2023-06-23,Spain,38,Male,Smart TV,Standard,"14,28","0,62","8,85",47519628
129,130,2023-07-01,2023-06-23,Italy,43,Female,Tablet,Basic,"8,78","0,65","5,71",58870762
130,131,2022-06-10,2023-06-23,United States,47,Male,Laptop,Premium,"19,99","1,0","19,99",339996563
131,132,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,Basic,"7,85","1,25","9,81",38781291
132,133,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,Standard,"15,08","0,69","10,41",67736802
133,134,2022-05-11,2023-06-25,Australia,32,Male,Tablet,Premium,"16,81","1,44","24,21",26439111
134,135,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,Basic,"8,78","0,74","6,5",83294633
135,136,2022-09-13,2023-06-26,France,41,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
136,137,2022-10-08,2023-06-22,Brazil,49,Male,Laptop,Basic,"4,9","2,53","12,4",216422446
137,138,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,Standard,"10,86","10,04","109,03",128455567
138,139,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,Standard,"14,28","0,62","8,85",47519628
139,140,2022-02-05,2023-06-23,Italy,43,Female,Smartphone,Basic,"8,78","0,65","5,71",58870762
140,141,2022-11-05,2023-06-27,United States,42,Male,Smartphone,Premium,"19,99","1,0","19,99",339996563
141,142,2022-10-06,2023-06-22,Canada,28,Male,Smart TV,Basic,"7,85","1,25","9,81",38781291
142,143,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,Standard,"15,08","0,69","10,41",67736802
143,144,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,Premium,"16,81","1,44","24,21",26439111
144,145,2022-05-05,2023-06-26,Germany,35,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
145,146,2022-06-10,2023-06-25,France,38,Male,Tablet,Basic,"9,88","0,73","7,21",64756584
146,147,2022-08-11,2023-06-24,Brazil,49,Female,Laptop,Basic,"4,9","2,53","12,4",216422446
147,148,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,Standard,"10,86","10,04","109,03",128455567
148,149,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,Premium,"19,77","0,62","12,26",47519628
149,150,2022-12-15,2023-06-23,Italy,47,Female,Laptop,Basic,"8,78","0,65","5,71",58870762
150,151,2022-12-12,2023-06-25,United States,30,Female,Laptop,Basic,"9,99","1,0","9,99",339996563
151,152,2022-11-23,2023-06-27,Canada,33,Female,Tablet,Premium,"16,5","1,25","20,62",38781291
152,153,2022-12-25,2023-06-24,United Kingdom,47,Male,Smartphone,Standard,"15,08","0,69","10,41",67736802
153,154,2023-11-03,2023-06-27,Australia,27,Male,Laptop,Standard,"12,42","1,44","17,88",26439111
154,155,2022-11-18,2023-06-27,Germany,28,Male,Tablet,Basic,"8,78","0,74","6,5",83294633
155,156,2022-08-19,2023-06-25,France,47,Male,Smartphone,Premium,"19,77","0,73","14,43",64756584
156,157,2022-09-27,2023-06-24,Brazil,30,Male,Laptop,Standard,"7,54","2,53","19,08",216422446
157,158,2022-10-19,2023-06-28,Mexico,47,Female,Smartphone,Basic,"6,89","10,04","69,18",128455567
158,159,2022-12-21,2023-06-26,Spain,51,Female,Smart TV,Standard,"14,28","0,62","8,85",47519628
159,160,2022-10-27,2023-06-25,Italy,39,Male,Smartphone,Premium,"19,77","0,65","12,85",58870762
160,161,2022-10-23,2023-06-24,United States,45,Male,Tablet,Basic,"9,99","1,0","9,99",339996563
161,162,2022-04-19,2023-06-25,Canada,31,Male,Laptop,Premium,"16,5","1,25","20,62",38781291
162,163,2022-05-04,2023-06-26,United Kingdom,29,Male,Laptop,Standard,"15,08","0,69","10,41",67736802
163,164,2022-11-03,2023-06-26,Australia,42,Female,Tablet,Basic,"8,03","1,44","11,56",26439111
164,165,2022-05-25,2023-06-25,Germany,49,Male,Tablet,Standard,"14,28","0,74","10,57",83294633
165,166,2022-04-16,2023-06-26,France,42,Male,Laptop,Premium,"19,77","0,73","14,43",64756584
166,167,2022-07-04,2023-06-24,Brazil,29,Male,Smartphone,Basic,"4,9","2,53","12,4",216422446
167,168,2022-11-12,2023-06-28,Mexico,29,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
168,169,2023-01-20,2023-06-26,Spain,49,Male,Tablet,Premium,"19,77","0,62","12,26",47519628
169,170,2023-12-01,2023-06-25,Italy,32,Male,Laptop,Basic,"8,78","0,65","5,71",58870762
170,171,2022-04-29,2023-06-24,United States,35,Female,Tablet,Premium,"19,99","1,0","19,99",339996563
171,172,2022-04-27,2023-06-26,Canada,39,Female,Smartphone,Basic,"7,85","1,25","9,81",38781291
172,173,2022-03-06,2023-06-25,United Kingdom,40,Male,Smartphone,Standard,"15,08","0,69","10,41",67736802
173,174,2022-04-23,2023-06-25,Australia,39,Female,Tablet,Standard,"12,42","1,44","17,88",26439111
174,175,2022-04-22,2023-06-26,Germany,47,Female,Laptop,Basic,"8,78","0,74","6,5",83294633
175,176,2022-12-04,2023-06-25,France,37,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
176,177,2022-05-23,2023-06-26,Brazil,27,Female,Smartphone,Basic,"4,9","2,53","12,4",216422446
177,178,2022-10-19,2023-06-26,Mexico,49,Female,Laptop,Standard,"10,86","10,04","109,03",128455567
178,179,2022-03-12,2023-06-26,Spain,30,Female,Tablet,Premium,"19,77","0,62","12,26",47519628
179,180,2022-09-26,2023-06-25,Italy,36,Male,Laptop,Basic,"8,78","0,65","5,71",58870762
180,181,2022-06-16,2023-06-27,United States,33,Male,Smartphone,Premium,"19,99","1,0","19,99",339996563
181,182,2022-05-16,2023-06-25,Canada,30,Female,Laptop,Basic,"7,85","1,25","9,81",38781291
182,183,2022-05-26,2023-06-26,United Kingdom,36,Female,Tablet,Standard,"15,08","0,69","10,41",67736802
183,184,2022-04-26,2023-06-25,Australia,28,Female,Laptop,Standard,"12,42","1,44","17,88",26439111
184,185,2022-12-05,2023-06-25,Germany,47,Female,Tablet,Basic,"8,78","0,74","6,5",83294633
185,186,2022-01-03,2023-06-25,France,33,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
186,187,2022-10-07,2023-06-24,Brazil,49,Female,Laptop,Basic,"4,9","2,53","12,4",216422446
187,188,2022-07-16,2023-06-27,Mexico,44,Female,Smart TV,Standard,"10,86","10,04","109,03",128455567
188,189,2022-02-09,2023-06-26,Spain,47,Male,Smart TV,Premium,"19,77","0,62","12,26",47519628
189,190,2022-09-18,2023-06-26,Italy,37,Female,Tablet,Basic,"8,78","0,65","5,71",58870762
190,191,2022-08-07,2023-06-25,United States,46,Male,Laptop,Premium,"19,99","1,0","19,99",339996563
191,192,2022-06-26,2023-06-27,Canada,50,Female,Smartphone,Basic,"7,85","1,25","9,81",38781291
192,193,2022-05-08,2023-06-25,United Kingdom,50,Male,Laptop,Standard,"15,08","0,69","10,41",67736802
193,194,2022-08-19,2023-06-27,Australia,37,Male,Laptop,Standard,"12,42","1,44","17,88",26439111
194,195,2022-08-26,2023-06-24,Germany,50,Female,Smartphone,Basic,"8,78","0,74","6,5",83294633
195,196,2022-09-06,2023-06-24,France,45,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
196,197,2022-09-27,2023-06-23,Brazil,45,Male,Tablet,Basic,"4,9","2,53","12,4",216422446
197,198,2022-10-18,2023-06-27,Mexico,49,Female,Laptop,Standard,"10,86","10,04","109,03",128455567
198,199,2022-10-31,2023-06-25,Spain,39,Female,Tablet,Premium,"19,77","0,62","12,26",47519628
199,200,2022-10-13,2023-06-25,Italy,45,Female,Tablet,Basic,"8,78","0,65","5,71",58870762
200,201,2022-04-07,2023-06-27,United States,49,Female,Smart TV,Premium,"19,99","1,0","19,99",339996563
201,202,2022-06-26,2023-06-27,Canada,31,Female,Tablet,Basic,"7,85","1,25","9,81",38781291
202,203,2022-07-31,2023-06-24,United Kingdom,42,Female,Smart TV,Standard,"15,08","0,69","10,41",67736802
203,204,2022-07-27,2023-06-24,Australia,37,Male,Smartphone,Standard,"12,42","1,44","17,88",26439111
204,205,2022-07-30,2023-06-25,Germany,30,Male,Smart TV,Basic,"8,78","0,74","6,5",83294633
205,206,2022-06-08,2023-06-25,France,40,Male,Smartphone,Premium,"19,77","0,73","14,43",64756584
206,207,2022-09-16,2023-06-24,Brazil,45,Female,Smartphone,Basic,"4,9","2,53","12,4",216422446
207,208,2023-05-01,2023-06-23,Mexico,36,Female,Tablet,Standard,"10,86","10,04","109,03",128455567
208,209,2022-10-12,2023-06-24,Spain,41,Male,Laptop,Premium,"19,77","0,62","12,26",47519628
209,210,2022-11-22,2023-06-26,Italy,49,Female,Laptop,Basic,"8,78","0,65","5,71",58870762
210,211,2022-11-15,2023-06-27,United States,40,Male,Tablet,Premium,"19,99","1,0","19,99",339996563
211,212,2022-10-28,2023-06-26,Canada,36,Male,Smart TV,Basic,"7,85","1,25","9,81",38781291
212,213,2022-08-09,2023-06-24,United Kingdom,49,Female,Smart TV,Standard,"15,08","0,69","10,41",67736802
213,214,2022-06-30,2023-06-28,Australia,43,Female,Laptop,Standard,"12,42","1,44","17,88",26439111
214,215,2022-02-09,2023-06-27,Germany,50,Female,Smartphone,Basic,"8,78","0,74","6,5",83294633
215,216,2022-08-10,2023-06-24,France,51,Female,Smart TV,Premium,"19,77","0,73","14,43",64756584
216,217,2022-11-13,2023-06-25,Brazil,44,Male,Smart TV,Basic,"4,9","2,53","12,4",216422446
217,218,2022-11-15,2023-06-28,Mexico,27,Male,Tablet,Standard,"10,86","10,04","109,03",128455567
218,219,2022-11-16,2023-06-25,Spain,46,Female,Smartphone,Premium,"19,77","0,62","12,26",47519628
219,220,2022-11-26,2023-06-27,Italy,29,Male,Tablet,Basic,"8,78","0,65","5,71",58870762
220,221,2022-11-26,2023-06-25,United States,47,Male,Smartphone,Basic,"9,99","1,0","9,99",339996563
221,222,2022-12-12,2023-06-26,Canada,48,Female,Smartphone,Basic,"7,85","1,25","9,81",38781291
222,223,2023-08-01,2023-06-25,United Kingdom,34,Female,Smartphone,Standard,"15,08","0,69","10,41",67736802
223,224,2022-11-27,2023-06-29,Australia,40,Female,Smartphone,Premium,"16,81","1,44","24,21",26439111
224,225,2022-11-10,2023-06-27,Germany,48,Female,Smartphone,Basic,"8,78","0,74","6,5",83294633
225,226,2022-09-27,2023-06-26,France,35,Male,Smartphone,Basic,"9,88","0,73","7,21",64756584
226,227,2022-09-30,2023-06-24,Brazil,51,Female,Smartphone,Premium,"10,57","2,53","26,74",216422446
227,228,2022-04-11,2023-06-27,Mexico,39,Male,Smart TV,Standard,"10,86","10,04","109,03",128455567
228,229,2022-04-11,2023-06-27,Spain,29,Male,Smartphone,Standard,"14,28","0,62","8,85",47519628
229,230,2022-10-30,2023-06-26,Italy,51,Male,Laptop,Basic,"8,78","0,65","5,71",58870762
230,231,2022-10-29,2023-06-24,United States,43,Male,Smartphone,Premium,"19,99","1,0","19,99",339996563
231,232,2022-08-30,2023-06-27,Canada,28,Male,Smartphone,Standard,"12,96","1,25","16,2",38781291
232,233,2022-07-07,2023-06-26,United Kingdom,50,Female,Smart TV,Basic,"9,59","0,69","6,62",67736802
233,234,2022-05-26,2023-06-27,Australia,44,Female,Laptop,Standard,"12,42","1,44","17,88",26439111
234,235,2022-05-17,2023-06-25,Germany,50,Male,Laptop,Premium,"19,77","0,74","14,63",83294633
235,236,2022-08-05,2023-06-26,France,39,Female,Smartphone,Basic,"9,88","0,73","7,21",64756584
236,237,2022-07-07,2023-06-25,Brazil,46,Female,Tablet,Premium,"10,57","2,53","26,74",216422446
237,238,2022-07-17,2023-06-28,Mexico,48,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
238,239,2022-12-23,2023-06-26,Spain,38,Male,Smart TV,Basic,"8,78","0,62","5,44",47519628
239,240,2022-06-27,2023-06-26,Italy,38,Male,Smartphone,Standard,"14,28","0,65","9,28",58870762
240,241,2022-05-31,2023-06-27,United States,47,Male,Laptop,Premium,"19,99","1,0","19,99",339996563
241,242,2022-02-06,2023-06-26,Canada,37,Male,Laptop,Basic,"7,85","1,25","9,81",38781291
242,243,2022-05-25,2023-06-27,United Kingdom,33,Male,Laptop,Standard,"15,08","0,69","10,41",67736802
243,244,2022-04-26,2023-06-26,Australia,28,Male,Smartphone,Premium,"16,81","1,44","24,21",26439111
244,245,2022-04-20,2023-06-26,Germany,47,Male,Smart TV,Basic,"8,78","0,74","6,5",83294633
245,246,2022-03-05,2023-06-25,France,38,Female,Smartphone,Premium,"19,77","0,73","14,43",64756584
246,247,2022-07-07,2023-06-27,Brazil,27,Male,Smart TV,Basic,"4,9","2,53","12,4",216422446
247,248,2022-09-15,2023-06-26,Mexico,34,Male,Smartphone,Standard,"10,86","10,04","109,03",128455567
248,249,2022-09-16,2023-06-27,Spain,42,Female,Smartphone,Standard,"14,28","0,62","8,85",47519628
249,250,2022-09-08,2023-06-26,Italy,28,Male,Laptop,Basic,"8,78","0,65","5,71",58870762
250,251,2022-06-25,2023-06-27,United States,30,Male,Laptop,Premium,"19,99","1,0","19,99",339996563
251,252,2022-05-30,2023-06-26,Canada,38,Female,Smartphone,Basic,"7,85","1,25","9,81",38781291
252,253,2022-05-21,2023-06-25,United Kingdom,45,Female,Tablet,Standard,"15,08","0,69","10,41",67736802
253,254,2022-05-20,2023-06-27,Australia,48,Female,Smart TV,Premium,"16,81","1,44","24,21",26439111
254,255,2022-05-20,2023-06-26,Germany,46,Female,Smart TV,Basic,"8,78","0,74","6,5",83294633
255,256,2022-05-30,2023-06-26,France,34,Male,Tablet,Premium,"19,77","0,73","14,43",64756584
256,257,2022-06-17,2023-06-25,Brazil,46,Male,Laptop,Basic,"4,9","2,53","12,4",216422446
257,258,2022-07-16,2023-06-28,Mexico,41,Female,Smartphone,Standard,"10,86","10,04","109,03",128455567
